textid,Words (split by space),anger,disgust,fear,joy,sad,surprise
270,us to urge nato afghan spring offensive,0.130921987,0.006686695,0.181805588,0.410476802,0.101564388,0.168544539
271,texan allegedly joined somalia rebel plot,0.128893016,0.030999864,0.187690468,0.270052118,0.211841976,0.170522559
272,tensions as hungary marks uprising,0.123903596,0.030354539,0.179326831,0.292939925,0.202779118,0.17069599
273,idf shells lebanese army positions across northern border,0.153294166,0.036964139,0.241381156,0.158456337,0.293451979,0.116452222
274,north korea claims nuclear test,0.114027944,0.012649904,0.245878766,0.302648632,0.145792354,0.1790024
275,beckham to l a for the game not fame,0.051778257,0.037147767,0.172921614,0.491262743,0.099009265,0.147880355
276,hungary police tackle violent protestors,0.140345512,0.035890601,0.230712096,0.223340679,0.210890467,0.158820645
277,arthurs upsets robredo in first round at the st petersburg open,0.070243014,0.018431505,0.141127598,0.309724604,0.130700534,0.329772744
278,brazil air force cites faults and confusion in fatal crash,0.053185278,0.016870419,0.202618318,0.248641331,0.262356289,0.216328366
279,war is close ethiopia tells somali rebels,0.145114766,0.030048126,0.26046395,0.166296893,0.257031366,0.141044899
280,democrats plot bush troop increase censure,0.12371506,0.030315843,0.178675988,0.29340056,0.202932039,0.170960509
281,bangladesh ferry sinks dead,0.137686632,0.030959933,0.230275909,0.158293404,0.320178897,0.122605224
282,sale of chrysler possible,0.118097285,0.049495104,0.200143241,0.230820058,0.254409919,0.147034393
283,lawyer for deceased nazi era collaborator papon vows to bury him,0.09110903,0.051300973,0.110219402,0.443316843,0.142746655,0.161307096
284,mixed reaction to china s africa push,0.071773043,0.015208767,0.140962748,0.425218663,0.145167582,0.201669197
285,jon stewart mocks benefits of cnn s i,0.087814459,0,0.202968768,0.421752816,0.15327534,0.134188617
286,top colombia official resigns,0.143272744,0.048944682,0.177995748,0.250771536,0.221625729,0.157389561
287,toshiba portege r,0.124443404,0.030461458,0.181325821,0.291547936,0.202325187,0.169896194
288,luxury digs in south carolina s lowcountry,0.02730893,0.005926728,0.130099782,0.501231354,0.134761628,0.200671579
289,th person dies after receiving flu shot,0.103075769,0.028292133,0.225368099,0.197177109,0.301415502,0.144671388
290,bears watch as lead slips away,0.102472473,0.028114877,0.163661603,0.500440176,0.077758053,0.127552817
291,jail me i ate ivory coast chocolate,0.128417661,0.030165748,0.216377587,0.223759433,0.223624711,0.177654859
292,teacher charged with sex assault,0.118060077,0.029920959,0.190611471,0.295198796,0.171432306,0.194776391
293,college tuition continues climbing,0.124139643,0.030402046,0.180174613,0.292345445,0.20258375,0.170354503
294,matthews lays off turkey workers,0.123307983,0.030208623,0.178464795,0.286111407,0.204998357,0.176908836
295,space life search turns to tv,0.1070639,0.006285056,0.142417233,0.389698342,0.149748778,0.20478669
296,myspace welcomes french friends,0.124139643,0.030402046,0.180174613,0.292345445,0.20258375,0.170354503
297,hackers attack root servers,0.14767629,0.045189295,0.201715284,0.221542081,0.211992656,0.171884394
298,ice storm coating midwest,0.130759587,0.035860881,0.322978647,0.164842505,0.224085025,0.121473355
299,gop senators to force debate on troops in iraq,0.139506128,0.046547344,0.237054041,0.204245642,0.191530766,0.18111608
300,ex teacher guilty in nude pictures scheme,0.11863212,0.033864414,0.18958063,0.260173703,0.186863955,0.210885178
301,years on but couple still hugging,0.1185981,0.032345622,0.205502894,0.29273337,0.176777645,0.174042368
302,pats fourth quarter rally finishes chargers,0.17059449,0.035865294,0.227284842,0.181017143,0.217188026,0.168050204
303,review alpha dog misses the point,0.082347139,0.024397511,0.163675023,0.358260491,0.139751432,0.231568403
304,andromeda involved in galactic collision,0.118538679,0.03382523,0.190306356,0.26021805,0.186563887,0.210547798
305,injured marathon winner leaves hospital,0.119159347,0.029192269,0.176940347,0.309812728,0.205456377,0.159438932
306,kate is marrying doherty,0.124139643,0.030402046,0.180174613,0.292345445,0.20258375,0.170354503
307,baghdad plan is a success iraq prime minister tells bush,0.161382741,0.035696187,0.239270413,0.289521803,0.137591223,0.136537634
308,beckham outlines reasons for move,0.123553268,0.034107809,0.152858622,0.419043303,0.117554484,0.152882515
309,al qaeda chiefs are seen to regain power,0.107230707,0.012963121,0.235549835,0.381071362,0.101351107,0.161833869
310,start late retire rich,0.123465107,0.030236851,0.190225236,0.249244441,0.220791147,0.186037218
311,autos drive european gains,0.124139643,0.030402046,0.180174613,0.292345445,0.20258375,0.170354503
312,immigrants and french reach deal in standoff,0.101612134,0.036355746,0.169230647,0.287578347,0.189355286,0.215867841
